"InfluencerStandardized","standardizedCount","influencerList","platform","description"
"jidion","5","jidion, Jidion, JiDion, Jidion.","youtube_account","Welcome to EDPWATCH. On this channel, we present weekly true crime documentaries that shed light on the exploitation and vulnerability of children, as well as the adults who attempt to prey on them. Please note that we are not law enforcement, though we work closely with them to ensure that those documented are held accountable for their actions. We invite you to support our mission of advocating for those who cannot protect themselves by subscribing today!


"
"koenweijland","5","koen weijland, Koen Weijland, Koen weiland, Koen Weiland, koenwijland","youtube_account","Ik maak video's over EA FC 25, voetbal en andere sport!"
"kristysnepvangers","5","kristy snepvangers, Kristy snepvangers, kristysnepvangers","youtube_account","Neem een kijkje in mijn sportwereld! 📹
International jumping & eventing rider🧡 
Follow Your Dreams 🌟

"
"kubzscouts","5","kubz scouts, Kubz scouts., Kubzscouts, kubz scout, Kubzscout, Kubscoutz","youtube_account","N/A"
"mezelf","5","mezelf, Mezelf, ikzelf","youtube_account","N/A"
"milanknol","5","milan knol, Milan knol, milanknol, Milanknol","youtube_account","https://linktr.ee/milanknol2


"
"misterbeast","5","mister beast, misterbeast, Misterbeast, MsterBeast","youtube_account","N/A"
"mongraal","5","mongraal, Mongraal, Mingraal","youtube_account","🍀 USE CODE “MONGRAAL” IN THE ITEM SHOP FOR GOOD LUCK🍀 #ad 
"
"mrsavage","5","Mr Savage, mrsavage, Mrsavage, MRsavage","youtube_account","Professional Fortnite Player and Content Creator.


Welcome to my #more channel"
"onnedi","5","onnedi, onneDi, Onnedi, onedi, Onnedie","youtube_account","Welkom! Op dit kanaal vind je mijn Misdaad & Mysterie video's en soms ander soort content. Meer geïnteresseerd in gaming? Bekijk dan mijn 2e game-kanaal Onnestream; daar livestream ik elke zondag om 19:00.

Beluister ook mijn Podcasts:
https://podimo.com/nl/shows/moordcast
https://podimo.com/nl/shows/ooggetuigen

Volg mij op Social Media:

♦️ 2e GAME KANAAL - https://www.youtube.com/channel/UC2OCCDJV3ufNcpE2RxwJ2Xw/featured
♦️ TIKTOK: https://www.tiktok.com/@onnedi
♦️ FACEBOOK - https://www.facebook.com/pages/Onnedi...
♦️ INSTAGRAM - http://www.instagram.com/Onnedi
♦️ E-MAIL ZAKELIJK - bente@amillionfaces.nl

OnneDi staat onder toezicht van het comissariaat van de media. Contact opnemen kan via bente@amillionfaces.nl
"
"theboys","5","the boys, The boys, The Boys, The boys., Theboys","youtube_account","The Boys React content every Wednesday!
Business Inquiries: theboys@clickmgmt.com.au
"
"whopcap","5","whopcap, Whopcap","youtube_account","Hi! Just a guy who sometimes like to share my experiences!

Thank You for stopping by :)"
"ranboo","4","@Ranboo, ranboo, Ranboo.","youtube_account","This is honestly just bad ideas put on the internet for all to see. Have fun!
Business email is ranboobusiness@gmail.com

"
"acookiegod","4","acookiegod, cookie god, cookiegod, Cookiegod., acoockiegod","youtube_account","A deep voiced dude who plays Roblox with his idiot friend :)
official merch store: https://acookiegod.com/
"
"afcajax","4","afc ajax, Afc ajax, Afc Ajax, AFC Ajax","youtube_account","Welcome to the official Youtube channel of AFC Ajax.

Never miss an upload? Subscribe now."
"bellingas","4","Bellinga's, Bellinga´s, bellingas, bellinga","youtube_account","Hallo! Mijn naam is Luan. Ik ben 12 jaar (09-08-2012) en ben gek op vloggen en filmpjes maken.
Wij zijn met ons gezin op WERELDREIS en in mijn (week)vlogs neem ik jullie graag mee. 

Daarnaast zijn mijn hobby's o.a. zingen en dansen, vlogs maken en veel avonturen beleven!

Mijn papa en mama hebben ook een eigen youtube kanaal. Die begonnen ze toen ik ( nog net geen) 1 jaar was. Dus vloggen is er een beetje letterlijk met "" de paplepel""  ingegoten :P

Zo ontdekte ik dat ik zelf vloggen ook erg leuk vind! 

Vandaar dat ik nu ook mijn eigen youtube kanaal heb waar ik allemaal leuke filmpjes mag maken.

Wat voor filmpjes kan je op dit kanaal verwachten?

(Week)vlogs en leuke shorts.

Als je het leuk lijkt, abonneer dan op mijn youtube kanaal. (dat zou ik heel erg leuk vinden)

Alvast super dankjewel en veel kijkplezier!

Groetjes, van Luan

* Dit kanaal word onder controle gehouden door mijn   ouders."
"benoftheweek","4","Benoftheweek, Benoftheweek.","youtube_account","burner account
"
"boos","4","boos, Boos, BOOS, boef, Boef, boom","youtube_account","N/A"
"bts","4","bts, BTS, bt1, Bt1, beta","youtube_account","N/A"
"celinaspookyboo","4","celinaspookyboo, Celinaspookyboo, CelinaSpookyboo","youtube_account","I promise you a lifetime of weirdness.... Seriously I love you all so much and can't thank you enough for supporting me in everything I do


"
"courtreezy","4","courtreezy, Courtreezy, Courtreezy.","youtube_account","hey. yeah this is the second channel. wuz good?

instagram: @courtreezy
twitter: @courtreezy_
tiktok: @courtreezy0
"
"dancemoms","4","dance moms, Dance moms, dancemoms","youtube_account","A&E leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether it’s the network’s distinctive brand of award-winning disruptive reality or groundbreaking documentary, A&E makes entertainment an art form. Visit us at aetv.com for more info."
"dashiegames","4","dashiegames, DashieGames","youtube_account","Funny ass videos, Very bad language."
"dazgames","4","daz games, Daz games, Daz-Games, dazz games","youtube_account","Fishing, Adventure, Travel And much more!! With Daz & Will!"
"divaio","4","divaio, Divaio, divajo, Divao","youtube_account","Mijn naam is Divaio!
Ik ben een opkomende YouTuber en wil laten zien dat je alles kan bereiken wat je maar wilt!
Niks is onmogelijk als je erin gelooft.

ABONNEER om altijd op de hoogte te blijven!
↪ https://www.youtube.com/c/DivaioTakeOver

JOIN DE DTO!!!!

"
"dream","4","dream, Dream","youtube_account","My main channel is @Dream, I post lots of alternate stuff here."
"formula","4","formula 1, Formula 1, formula1, Formula1, formule 1","youtube_account","Subscribe for good luck for 100 years! 👆

I post daily minecraft let's play videos."
"gewoonthomas","4","gewoon thomas, GEWOON THOMAS, gewoonthomas, GewoonThomas","youtube_account","N/A"
"giel","4","giel, Giel, Giel., ties","youtube_account","Unknown"
"hooligirls","4","hooligirls, hooligurls","youtube_account","De Hooligirls hebben hun eigen kanaal! Welkom op dé plek waar je zij alles gaan geven. Geen challenge is te veel! Wie zal de hoofdprijs van het seizoen winnen? Check het hier iedere dinsdag voor een nieuwe aflevering van Hooligirls!"
"jperm","4","J perm, J Perm, j-perm, Jperm, Jerma985","youtube_account","I make videos so you can get faster!
Check out the ""Playlists"" section on the main channel page.

Business Email ► dylanqwang@gmail.com

How you can support me:
Patreon ► http://patreon.com/jperm
Clothing ► http://teespring.com/stores/jperm

F2L Algs ► http://bit.ly/bestf2l
PB Sheet ► http://bit.ly/JPERMPBS
Facebook ► http://facebook.com/jpermcubing

Where I buy cubes:
SpeedCubeShop ► http://bit.ly/2nW3qWg
Using the code ""JPERM"" supports my channel and also gives you a discount on your order!"
"jemoeder","4","je moeder, Je moeder, jemoeder, Jemoeder, enjemoeder","youtube_account","N/A"
"jeugdjournaal","4","jeugdjournaal, Jeugdjournaal","youtube_account","Dit is het YouTube-kanaal van het NOS Jeugdjournaal. Hier plaatsen we veel van onze verhalen, die je ook in onze uitzending op tv (elke dag op Zapp om 19:00 uur) en in de Jeugdjournaal-app (jeugdjournaal.nl/app) kunt zien.

► VRAGEN/TIPS/IDEEËN? 
Je kunt ons mailen op jeugdjournaal@nos.nl of stuur ons een berichtje op Instagram:
http://www.instagram.com/nosjeugdjournaal/

Vind je onze video's leuk? Abonneer je dan op ons kanaal en laat een comment achter. Die lezen we met veel plezier!

► JE KUNT ONS OOK VINDEN OP: 
Website: www.jeugdjournaal.nl
App: http://www.jeugdjournaal.nl/app
Instagram: http://www.instagram.com/nosjeugdjournaal
TikTok: https://www.tiktok.com/@nosjeugdjournaal"
"juniorsongfestival","4","junior songfestival, Junior Songfestival, juniorsongfestival","youtube_account","De jonge carrière van Matheu Hinzen, 18 jaar oud en afkomstig uit Weert, is indrukwekkend te noemen. Hij speelde in 7 films waaronder Bloed Zweet & Tranen en Onze Jongens in Miami, vertolkte de hoofdrol van Ciske in de musical Ciske de Rat, hij wist in 2016 de finale van Superkids te bereiken en won in 2019 het Junior Songfestival met zijn song Dans Met Jou. Hiermee behaalde Matheu voor Nederland een 4e plaats op het Junior Eurovision in Polen.

Hoewel zijn talent meerdere disciplines bestrijkt, is muziek en zingen echt de allergrootste passie. Na het Junior Songfestival brengt Matheu nog steeds songs uit, waaronder zijn single ""Voor even stil"" en ""Alles voor jou"" 

Matheu kan niet stilzitten op muzikaal front: zo brengt hij regelmatig coversongs en eigen muziek uit met video’s uit die je hier op YouTube kan bekijken!
"
"kalvijn","4","kalvijn","youtube_account","Unknown"
"linktijger","4","linktijger, Linktijger","youtube_account","Volg mijn gekke YouTube avonturen!

📱 Alle Socials: https://linktr.ee/LinkTijger
📩 Zakelijk contact: TeamLink@Scooperz.nl

LinkTijger
Contact: TeamLink@Scooperz.nl
Dit account staat onder toezicht van het commissariaat van de media.
"
"niks","4","niks, Kiss, Sims 4","youtube_account","N/A"
"parrot","4","parrot, Parrot","youtube_account","Unknown"
"plodno","4","plodno, Plodno","youtube_account","extra Plodno content

Plodno (hoofdkanaal): https://www.youtube.com/plodno

Merchandise: https://www.plodno.nl // https://www.plodno.com

Instagram: https://www.instagram.com/plodno

Plodno²
"
"raoul","4","raoul, Raoul, RADAL","youtube_account","De bekendste Boomer van Nederland en 20% van de Bankzitters! Door te abonneren mis je niets en blijf je op de hoogte van alles wat er op dit kanaal te zien is. DO YOU LIKE WHAT YOU SEE?? Check dan zeker even mijn tweede kanaal: https://www.youtube.com/channel/UClpGjlWjyEXXFHY06FA5vaw

➡️ Op zoek naar xbox live, PlayStation plus en tegoed kaarten? http://www.ikwiltegoed.nl 👀💸
➡️ Abonneer ook op het Bankzitters kanaal: https://www.youtube.com/channel/UC72_FRBE63kbHDYeKgc5HDg 🛋👨‍👦👨‍👦‍👦"
"rutgerenthomas","4","rutger en thomas, Rutger en Thomas","youtube_account","N/A"
"sb","4","sb-737, sb737, SB737, SBS, sbs6, SBS6, Sml, SNL, soz","youtube_account","This is an official SB737 channel where I upload all the best stream highlights and BONUS content WEEKLY! so please SUBSCRIBE! 
For all business inquiries please contact via email.
Business Inquiries - sam@sb737.org

MERCH - https://sb737.store/


"
"slotta","4","slotta, Slotta","youtube_account","Als je nieuw bent op dit kanaal, houd me vast. Maar niet te lang moet ook nog andere dingen doen vandaag.

Abonneer en ik zal vandaag een biertje nuttigen.

Voor zakelijke aanvragen: frank@fifty-fifty.nl 

Social Media:
● Instagram: http://instagram.com/FrankSlotta
● Twitter: https://twitter.com/FrankSlotta
● Snapchat: Slottaaa"
"socksfor","4","socksfor1, Socksfor1, socksfor3, Socksfor3, Sockfor1","youtube_account","i got a little bit bored 
Business Inquires: socks@night.co

"
"timtygran","4","tim tygran, Tim Tygran","youtube_account","⇨ Ik reis de hele wereld over op zoek naar de meest bijzondere verhalen en avonturen. Ik neem mijn camera mee en leg dit vast voor jullie. Alles draait om spanning & avontuur!

➤ Samenwerken / aanvragen / sponsoren
⇨ management@GovertSweep.nl"
"tuonto","4","tuonto, Tuonto, Tuonto.","youtube_account","Get cozy, grab a snack, prepare for a little spook here and there... Expect stories that will make you cry your heart out, but also expect horror games that will make u jump. But don't worry, I'll be there screaming with you"
"vogue","4","vogue","youtube_account","Welcome to Vogue's Global Video Channel, where the culture of fashion is defined.  "
"blackpink","3","@blackpink, blackpink","youtube_account","Welcome to YG Entertainment"
"nosjeugdjournaal","3","@NOS jeugdjournaal, nos jeugdjournaal, NOS jeugdjournaal","youtube_account","N/A"
"tubbo","3","@Tubbo, tubbo, Tubbo","youtube_account","VODs from Tubbo's twitch channel"
"bitryan","3","8-bitryan, 8bitryan, 8bitRyan","youtube_account","Unknown"
"ajax","3","ajax, Ajax, Adam","youtube_account","N/A"
"alexklein","3","Alex klein, alexklein, Alexklein, Alex h Klein","youtube_account","
Hey! Mijn naam is Alex en ik maak game video's! Klik op de knop ABONNEER voor video's vol chaos! 
"
"alexpoatanpereira","3","alex poatan pereira","youtube_account","Official Youtube Channel of Alex Poatan Pereira.
"
"anass","3","anass, annas, Annas","youtube_account","Abonneer als je dit leest..❤️"
"andrewtate","3","Andrew tate, Andrew Tate, Andrew Tate.","youtube_account","Andrew Tate's Official channel for live broadcasts."
"arjenlubach","3","arjen lubach, Arjen Lubach","youtube_account","Het officiële YouTube kanaal van Arjen Lubach."
"benderbij","3","benderbij, Benderbij","youtube_account","N/A"
"berleezy","3","berleezy","youtube_account","#1 Source of Twitch Highlights from the best Content Creator in the galaxy. IMLYKE.

Follow/Support the Twitch ► https://www.twitch.tv/berleezy

Thots ► https://www.instagram.com/berleezy
Thoughts ► https://twitter.com/berleezy
Old School ► https://www.facebook.com/berleezy"
"billieeilish","3","billie eilish, Billie eilish, Billie Eilish","youtube_account","Unknown"
"blooprint","3","blooprint, Blooprint","youtube_account","Welcome to the bunker! This channel will feature edited videos pulled from my Twitch VODs and also extra off-stream content. 
Uploads are every 5-10 days. 

Bunker Team:
Primary Editor: Hood - https://twitter.com/HooD________
Primary Editor: Leyenda - https://twitter.com/LeyendaBoy
Channel Thumbnails: JPRyno - https://twitter.com/JPRyno1
Pixel Art Banner: Hexh - https://x.com/hexh__
"
"boeie","3","boeie, roedie, roelie","youtube_account","Broeder, 

Welkom op dit epic kanaal, je krijgt hier leuke seizoenen te zien van games als ARK Survival Evolved, Minecraft en nog veel meer!

We gaan de Roediementair tijden weer herleven, I know, goed grap. Dit kanaal bestaat vooral om te lachen om onzinnige dingen die nergens op slaan ondanks al het serieuze wat bezig is.  Ik ben heel erg benieuwd hoe ver we gaan komen met dit nieuwe oude kanaal!

Ik zou zeggen abonneer en word ook een B-roeder als je deel wilt zijn van de reis!
Dit is het Nederlandse game kanaal voor jouw dagelijkse dosis vermaak en plezier.

Vaste partner van G-Portal.
http://g-portal.com/?ref=Broeders


"
"bokado","3","bokado, Bokado","youtube_account","Volg mij op Twitch voor wekelijkse livestreams: https://www.twitch.tv/bokadoooo

Hey!
Mijn naam is Bo en ik woon in Nederland.

Op dit kanaal kan je video's verwachten die allemaal wat te maken hebben met De Sims!
Ongeveer 2/3 keer per week zal er een Sims video online komen op dit kanaal.
De Sims is al vanaf mijn 4e jaar mijn favoriete game en nog steeds speel ik het erg graag.

Naast dit kanaal maak ik ook actief video's op mijn andere YouTube kanaal, Bokado.
Ben je benieuwd naar mijn opkomende video's? Vergeet dan zeker niet te abonneren!

Ik wil iedereen bedanken voor alle lieve reacties en support van mijn kanaal. Ik waardeer het heel erg, jullie zijn stuk voor stuk geweldig!

xx Bo"
"cboys","3","c-boys, cboys, Cboys, cdboys","youtube_account","Life wide Open Podcast with CboysTV 

Check out www.cboystv.com

Follow us on instagram @Lifewideopenpodcast
@CboysTv
@cjlotzer
@micahsandman
@benroth_
@ryaniwerks
@kenmatthees

For Promotions Email: promotions@cboystv.com

"
"cboystv","3","cboys tv, cboystv","youtube_account","N/A"
"cristiano","3","cristiano","youtube_account","Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!"
"daiz","3","Daiz, Dani, Daz, DAZN","youtube_account","Hey, I'm Daisy♡ welcome to my digital diary, xoxo. 
I'm a Korean-Canadian content creator based in AB, Canada. On my channel you can expect to see productivity vlogs, food diaries, fashion and beauty videos. "
"dannygonzalez","3","danny gonzalez, Danny Gonzalez, dannygonzalez, danny gonzales","youtube_account","😎"
"debsmikle","3","deb smikle, Deb smikle., deb smikel","youtube_account","still figuring this out 
"
"dellavlogs","3","della vlogs, Della vlogs","youtube_account","Thanks for checking out our channel.. hope you subscribe :)"
"dharman","3","dhar man, Dhar Man, dhar mann, DHAR MANN, Dharman, Dharmann., dharr man, Dharr mann.","youtube_account","Click SUBSCRIBE to stay updated 👇

Hi, I’m Dhar! I’m a mission-driven entrepreneur and filmmaker focused on ideas that have a massive positive impact on the world. The videos I create have resonated with so many that now over 105 million people follow me on social media and are part of my #DharMannFam.

My team and I at Dhar Mann Studios have created hundreds of videos about life, business, and relationships that have been viewed over 50+ Billion times! Drawing from my own personal experiences of success and failure, I strive to create powerful messages that resonate with global audiences. My mission for creating content is simple: We’re not just telling stories, we’re changing lives."
"djuncan","3","Djuncan, duncan, Duncan, Djucan","youtube_account","Het heeft geen zin om dit te lezen. Je kunt gewoon filmpjes kijken hier! "
"efteling","3","efteling, Efteling","youtube_account","Welkom op Efteling Junior! Hét YouTube-kanaal van de Efteling met de spannendste en leukste video's!

 
"
"fcroelie","3","fc roelie, FC roelie, FCRoelie, fcroellie","youtube_account","N/A"
"flamingo","3","flamingo, Flamingo","youtube_account","The Most Botted Channel EVER
"
"fog","3","fog, FOG, FOG11, fng, Log, tgg","youtube_account","FOG is a music group based in Amsterdam, active since 2016. 

Known for their distinctive sound and raw energy, FOG is the home of talented artists Lowkey, RK, RS, CGO and Jovv. 

Together, they have been pushing the boundaries of music, making their mark on the urban scene.

Disclaimer: The content in this video is purely for entertainment purposes. All characters, events, and dialogues are fictional and should not be taken literally.
"
"freepalestina","3","Free Palestina","youtube_account","N/A"
"funnymike","3","funnymike, Funnymike","youtube_account","Official FunnyMike Live Channel

 🔴Follow My Socials:
Main Channel: https://youtube.com/c/Funnymike
Twitter : https://twitter.com/1Funnymike
Instagram: https://www.instagram.com/FunnyMike

"
"fusionzgamer","3","FusionZgamer, FusionZGamer, Fusionzgamer.","youtube_account","Welcome to the ultimate horror gaming theory channel! If you love uncovering hidden secrets, insane game theories, and deep-dive lore breakdowns—you’re in the right place.

🎮 What you’ll find here:
🔹 Poppy Playtime & Garten of Banban theories that will make you rethink everything 👀
🔹 Horror game breakdowns—from hidden details to insane endings explained
🔹 Ranking videos on the scariest monsters, worst experiments, and more!
🔹 Mystery & lore deep dives into the darkest corners of indie horror games
🔹FNAF Content that will keep you entertained for weeks!

💀 Think you’ve spotted something no one else has? Drop your theories in the comments—I love breaking them down with the community!

📩 Subscribe & turn on notifications so you never miss a new video. Let’s unravel these horror game mysteries together. 🔥🎬
"
"galatasaray","3","galatasaray, Galatasaray","youtube_account","En özel içeriklerimiz için sen de KATIL! 👇

Galatasaray Spor Kulübü Resmi Youtube Kanalı / Official Youtube Channel Of Galatasaray"
"gamesreal","3","games4real, Games4real, game4real","youtube_account","hallo en welkom op mijn kanaal Ik ben Dylan en ik ben 23 jaar.
Ik maak video’s voor jullie op YouTube om mensen te entertainen en omdat ik het super tof vind om te doen!
Ik upload ELKE DAG een video/Livestream!

📢 en vergeet natuurlijk niet het 🔔 aan te klikken om op de hoogte te blijven van mijn video's & 
Te abonneren! https://www.youtube.com/channel/UC9SeqSlo6OiBLuHjKqnu8Pg/join

Mijn Socials:
✅ Instagram: https://www.instagram.com/games4realyt
✅ Spotify: https://open.spotify.com/user/games4realprive

🔊 Mijn Discord: https://discord.gg/4realcommunity
🔊 FutureRP Discord: https://discord.gg/frp


Zakelijk contact?
📩 info@Games4Real.nl
"
"geeneen","3","geen een, geen zin, geen zun","youtube_account","N/A"
"geenidee","3","geen idee","youtube_account","N/A"
"goodtimeswithscar","3","Goodtimeswithscar, GoodtimeswithScar","youtube_account","Welcome to the GoodClipsWithScar YouTube channel. Here you'll find my Twitch Stream highlights, epic moments, and more!

My YouTube channel is dedicated to entertaining and helping other gamers."
"graystillplays","3","graystillplays, Graystilplays, Grey still plays","youtube_account","I make bad choices in games and cause pixel people to become sad.

All brand and sponsorship opportunities: graystillplays@gmail.com
Manager Paragon Hex: paragonhex.business@gmail.com
---------------------------------------------------------------------------------------------------------------
Channel art by: http://themoski.tumblr.com/
TJFX22"
"hopescope","3","hopescope, Hopescope, Horoscope.","youtube_account","Reviews, Reactions and Rants! HopeScope's Secret Second Channel 🤫 

BUSINESS INQUIRIES ONLY: Email tyler@hopescope.com or DM Tyler on LinkedIn https://www.linkedin.com/in/tyler-allen-hopescope/
"
"ikweetdenaamniet","3","ik weet de naam niet","youtube_account","N/A"
"jarnoopmeer","3","Jarno opmeer, Jarno Opmeer","youtube_account","Jarnoopmeerbusiness@gmail.com"
"jevader","3","je vader, Je vader, jevader","youtube_account","N/A"
"jeremyfrieser","3","jeremy frieser, jeremyfrieser","youtube_account","Gewoon dingen die ik leuk vind

"
"jmancurly","3","jmancurly, Jmancurly","youtube_account","hi, i'm julian and making videos is the only thing i can focus on.
"
"joelbeukers","3","joel beukers","youtube_account","Welkom op het leukste fitness platform van Nederland & België speciaal voor vrouwen! 
Op fitnessmeiden.nl vind je actuele blogs over fitness, gezonde voeding en de laatste trends op gebied van fitness fashion. Het is onze missie om alle meiden van Nederland en België bij elkaar te brengen, zodat we al onze kennis over fitness, voeding & lifestyle met elkaar kunnen delen.

Have fun watching!

x Fitness Meiden"
"juliaheetman","3","julia heetman, Julia heetman","youtube_account","Unknown"
"justkass","3","justkass, Justkass","youtube_account","I'm The girl with A MiLLiON SiBLiNGS + OBSESSED WITH MAKEUP & SKINCARE
♥ If you are a company interested in working with me feel free to email me at: collaborations@justkass.com
"
"kingalmightyyy","3","kingalmightyyy, Kingalmightyyy, KingAlmightyyy, kingalmightyy, kingalmithyyy","youtube_account","KingAlmightyyyFamily 🤴🏻💙!

"
"kittadiy","3","kitta diy, Kitta diy., kittadiy, Kitty Diy","youtube_account","Welkom op mijn LIVE-kanaal! Hier kan je me live zien tekenen of gamen. Kom gezellig langs in de chat! 
"
"ksi","3","ksi, KSI, Goi, kai","youtube_account","For any inquiries contact Mams Taylor – Mams@properloud.com

Thick Of It coming soon 👀  https://lnk.to/KSI-thickofit
"
"lanadelrey","3","lana del rey, Lana del rey","youtube_account","Sign up for exclusive LdR content and first news direct from Lana on new music , live , merch and more - https://sparklejumpropequeen.t.os.fan/sparklejumpropequeen/exclusiveaccess"
